Chip,SubChipFamily,KWords,Data EEPROM,HEFWords,SAFWords,ProgMemRowSizeWords,RAM,I/O,ADC Channels,Max. Speed MHz,Int Oscillator (MHz),Parallel Port,USART,Pin Count,PWMTimerVariant,FixedConstants,SMTClockSourceVariant,ConfigBaseLoc,IntOSCCONFormat,READAD10BITFORCE,Stack,IDAddress,IDLength,NoBankRAM,31kSupport,SectorRAMAddress,SectorRAMAddressSize,WriteFlashBlockSize,EraseFlashBlockSize,,
PIC16F1717,,8,0,128,0,32,1024,36,28,32,32,No,1,40,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1718,,16,0,128,0,32,2048,25,17,32,32,No,1,28,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1719,,16,0,128,0,32,2048,36,28,32,32,No,1,40,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1764,,4,0,128,0,32,512,12,8,32,32,No,1,14,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1765,,8,0,128,0,32,1024,12,8,32,32,No,1,14,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1768,,4,0,128,0,32,512,18,12,32,32,No,1,20,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1769,,8,0,128,0,32,1024,18,12,32,32,No,1,20,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1773,,4,,128,0,32,512,26,17,32,32,No,1,28,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1776,,8,,128,0,32,1024,26,17,32,32,No,1,28,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1777,,8,,128,0,32,1024,38,28,32,32,No,1,40,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1778,,16,,128,0,32,2048,26,17,32,32,No,1,28,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1779,,16,,128,0,32,2048,26,28,32,32,No,1,28,1,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1782,,2,256,0,0,,256,25,11,32,32,No,1,28,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
